n_features,n_trees,min_samples_leaf,max_features,criterion,MAE,StdMAE,RMSE,StdRMSE,MaxE,StdMaxE,R2,StdR2,Time,StdTime
10,50,1,0.25,mse,0.126578328398719,0.002453182045599,0.171432273599498,0.003964311388182,1.4459425,0.172843455600002,0.800383061566861,0.00840623416839,20.528598845005,1.28822818682845
10,50,1,0.5,mse,0.124702822695309,0.002030166094808,0.168976812156803,0.003182552567543,1.40016,0.269037439773724,0.806160130826416,0.004608822968022,23.9089402556419,3.73260981005534
10,50,1,0.75,mse,0.12561905873959,0.00361624907313,0.170085648950843,0.00429220237319,1.3201175,0.193076228841745,0.803466096059551,0.009159846208984,19.8421403467655,0.320708757124615
10,50,1,auto,mse,0.125213366739535,0.001338602352212,0.170211728662111,0.00149423733708,1.4064575,0.153187071398829,0.803179374201283,0.005771162962458,21.5104158818722,0.082381295856269
10,50,10,0.25,mse,0.12954984157873,0.003569228560715,0.176568090343516,0.00416257721208,1.46887099583053,0.140322745029283,0.788231492155276,0.009831061087849,17.1737773120403,0.121345455415499
10,50,10,0.5,mse,0.126865856410096,0.002288229262249,0.172644598622999,0.003714182479173,1.43953649591214,0.169864538557488,0.797652898384723,0.006586858802179,18.5134108662605,0.374064050497192
10,50,10,0.75,mse,0.126335731246576,0.002027934877954,0.172479042342342,0.002544467319671,1.44684146505556,0.202112884424045,0.797918282603336,0.007784407246007,20.1532798111439,0.22888197328163
10,50,10,auto,mse,0.127042745461716,0.002227622320728,0.173395999126481,0.002574885601735,1.57244109091353,0.21669090243288,0.795886887392327,0.005251184134163,20.917869836092,0.160524110563058
10,100,1,0.25,mse,0.126600406182689,0.003600230040532,0.171514751724138,0.00396991530689,1.42054125,0.186958647194874,0.800144773339644,0.009227588913735,19.851233035326,0.082466430050142
10,100,1,0.5,mse,0.124541374409421,0.003001133778994,0.168930895466097,0.003126756152628,1.39389375,0.159690352083141,0.806163022644903,0.007832936748036,26.5134181678295,7.13088708442576
10,100,1,0.75,mse,0.124867004463158,0.002375264864791,0.168948421426516,0.002867432468796,1.35188625,0.163413452853299,0.806100677416692,0.007599480396551,30.3259148001671,4.95133709907111
